Strompreis (EUR/kWh);Einzel klein;Einzel groß;Doppel klein;Doppel groß
0.130000;38.990000;37.200000;34.210000;39.150000
0.160000;46.080000;44.170000;39.580000;44.320000
0.190000;53.170000;51.130000;44.940000;49.500000
