;Einzel klein;Einzel groß;Doppel klein;Doppel groß
Verdichter;46.461327;28.144703;36.909508;12.469238
Turbine/Expander;9.377067;6.719666;2.945531;1.176738
Zwischenkühler;1.987105;1.851233;1.148552;0.553880
Hauptwärmeübertrager;8.149927;10.345592;13.549667;52.370462
Reboiler/Kondensatoren;12.341559;39.536200;16.259115;21.031314
Kolonnen;14.276898;5.995198;21.780222;4.990960
Luftvorreinigung;7.406117;7.407407;7.407405;7.407408
